,id,title,release_date,vote_average,overview,genre_ids,popularity,poster_path,genres,release_year
5234,918287,I Used to Be Funny,2024-06-07,6.4,"Sam is a young stand-up comedian and au pair struggling with PTSD, who is weighing whether or not to join the search for Brooke, a missing girl she used to nanny.",[18],6.8241,/qjS09CwrW7nKRKtUaH0Ml5w68f.jpg,Drama,2024
5235,1405189,Teacher's Pet,2025-01-03,0.0,"Robin, a young student, is obsessed with Tanya, his teacher. He then sees Tanya kissing a female student, so he blackmails her. When Robin believes that he is in control, he learns Tanya's dark personality.",[18],5.3519,/4Src1CauYChl4iPiMjSFzeTRBrN.jpg,Drama,2025
5236,26127,Joshua Tree,1993-04-08,6.047,A Los Angeles police detective tracks a fugitive who heads for the desert with a deputy sheriff as hostage.,[28],6.6359,/kKYMrf2iwyyBYbGYnzPVWV8LXUQ.jpg,Action,1993
5237,362585,Kizumonogatari Part 3: Reiketsu,2017-01-06,8.1,"With help from Meme Oshino, the apparition specialist, Koyomi defeats the three powerful vampire hunters: Dramaturgy, Episode and Guillotinecutter. Koyomi takes back all the limbs of Kiss-shot Acerola-orion Heart-under-blade in order to become a human again.","[16, 14, 9648]",6.8489,/rfKHhHvSwyCv59Ow6wuGX67RkXR.jpg,"Animation, Fantasy, Mystery",2017
5238,9819,Marvin's Room,1996-12-18,6.7,A leukemia patient attempts to end a 20-year feud with her sister to get her bone marrow.,[18],6.6134,/lTHq1K5Y6EDRjxTBvReXHY6AKQ3.jpg,Drama,1996
5239,2155,Reindeer Games,2000-02-25,5.7,"After assuming his dead cellmate's identity to get with his girlfriend, an ex-con finds himself the reluctant participant in a casino heist.","[53, 28, 80]",6.7501,/5ZQpRgKgRIF0IgBx3kGYSNPRtvT.jpg,"Thriller, Action, Crime",2000
5240,22414,Postcards from the Edge,1990-09-14,6.6,"Substance-addicted Hollywood actress, Suzanne Vale is on the skids. After a spell at a detox centre her film company insists as a condition of continuing to employ her that she live with her mother, herself once a star and now a champion drinker. Such a set-up is bad news for Suzanne who has struggled for years to get out of her mother's shadow, and who still treats her like a child. Despite these and other problems, Suzanne begins to see the funny side of her situation, and also realises that not only do daughters have mothers—mothers do too.","[35, 18]",6.2491,/uF7bO5UcenRgag0jpbVvKsGyfBK.jpg,"Comedy, Drama",1990
5241,738091,Free! the Final Stroke the First Volume,2021-09-17,8.3,"Haruka Nanase's new stage to take on the world is Sydney – a place he once visited, a place of dreams. One day, while taking a short break before his departure, Haruka coincidentally runs into a swimmer that competed at the All Japan National Championships, andi s burning for a challenge.  With the feelings of his friends whom he swam together brimming in his heart, Haruka steps forward into a brand new world. What awaits him is the world champion, Albert Volandel. The swimmers mentally prepare themselves for the competition in Syndey.  What will they fell and what will they swim for as they compete for a place at the top of the world? Their intense battle with the water begins here!","[16, 18, 35]",6.2449,/vLGf2PQfme1tUO0EJSYgAWXuRqe.jpg,"Animation, Drama, Comedy",2021
5242,8373,Transformers: Revenge of the Fallen,2009-06-19,6.195,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.","[878, 28, 12]",6.4759,/pLBb0whOzVDtJvyD4DPeQyQNOqp.jpg,"Science Fiction, Action, Adventure",2009
5243,15711,The Lost,2006-03-11,5.3,A charismatic psycho suspected of killing two innocent campers in a cold-blooded double homicide grows increasingly unstable as his suburban empire starts to crack at the foundations.,"[80, 18, 53]",4.9668,/7umv0xy6252iBzQz4OgbII8xnQw.jpg,"Crime, Drama, Thriller",2006
5244,721656,"Happy Halloween, Scooby-Doo!",2020-10-06,7.8,"Scooby-Doo and the gang team up with their pals, Bill Nye The Science Guy and Elvira Mistress of the Dark, to solve this mystery of gigantic proportions and save Crystal Cove!","[10751, 16, 9648, 35]",6.5659,/ojSrGq5qIBObrodYilJQPXSYv6r.jpg,"Family, Animation, Mystery, Comedy",2020
5245,26486,The Last Shot,2004-09-24,5.7,A movie director-screenwriter finds a man to finance his latest project but soon discovers that the producer is actually an undercover FBI agent working on a mob sting operation.,"[28, 35]",6.7747,/usNiB3f9HdJU7ZTJiPklFr4PaMd.jpg,"Action, Comedy",2004
5246,25557,The Puppet Masters,1994-10-21,5.758,The Earth is invaded by alien parasites—AKA 'slugs'—that ride on people's backs and control their minds.,"[27, 878, 53]",6.9574,/mzq5uA0P5nfTH8Fl7OESeuDop8P.jpg,"Horror, Science Fiction, Thriller",1994
5247,25350,Imaginary Heroes,2004-09-14,6.5,"Matt Travis is good-looking, popular, and his school's best competitive swimmer, so everyone is shocked when he inexplicably commits suicide. As the following year unfolds, each member of his family struggles to recover from the tragedy with mixed results.","[35, 18]",6.1781,/tHMgJGkovOFpHi2lnQ9xTrIaR7N.jpg,"Comedy, Drama",2004
5248,557946,Last Looks,2022-01-27,5.839,"A disgraced ex-cop seeks solace by moving to the woods, but his quiet life comes to an end when a private eye recruits him to investigate the murder of an eccentric TV star's wife.","[28, 80, 53]",7.2763,/ud0XdA2xAghDR66j3I84DnNlC2g.jpg,"Action, Crime, Thriller",2022
5249,338952,Fantastic Beasts: The Crimes of Grindelwald,2018-11-14,6.846,"Gellert Grindelwald has escaped imprisonment and has begun gathering followers to his cause—elevating wizards above all non-magical beings. The only one capable of putting a stop to him is the wizard he once called his closest friend, Albus Dumbledore. However, Dumbledore will need to seek help from the wizard who had thwarted Grindelwald once before, his former student Newt Scamander, who agrees to help, unaware of the dangers that lie ahead. Lines are drawn as love and loyalty are tested, even among the truest friends and family, in an increasingly divided wizarding world.","[14, 12]",6.797,/fMMrl8fD9gRCFJvsx0SuFwkEOop.jpg,"Fantasy, Adventure",2018
5250,446807,The Girl in the Spider's Web,2018-10-25,6.144,"After being enlisted to recover a dangerous computer program, hacker Lisbeth Salander and journalist Mikael Blomkvist find themselves caught in a web of spies, cybercriminals and corrupt government officials.","[28, 80, 53]",6.6594,/w4ibr8R702DCjwYniry1D1XwQXj.jpg,"Action, Crime, Thriller",2018
5251,889450,Outlaw Johnny Black,2023-09-15,5.963,"Hell bent on avenging the death of his father, Johnny Black vows to gun down Brett Clayton and becomes a wanted man in the process while posing as a preacher in a small mining town that's been taken over by a notorious Land Baron.","[28, 35, 37]",6.6567,/nnMW6UT0sVwPF02cQf0q5lGMf8Q.jpg,"Action, Comedy, Western",2023
5252,956293,Places for the Soul,1990-01-01,0.0,"An intimate portrait of Christopher Alexander, a critic of modern architecture on a lifelong quest to build harmonious, livable places in today’s world.  The film tells the story of two projects – a spectacular high school in Japan and an innovative homeless shelter in California. For Alexander, feelings come first, users are deeply engaged and process is paramount.  We discover what happens when an architect’s unconventional method collides with standard practices in his profession.",[99],3.5241,/c1LbEyARffgxObb9HRott6F08SD.jpg,Documentary,1990
5253,134371,Atlas Shrugged: Part II,2012-10-12,5.287,Railroad owner Dagny Taggart and steel mogul Henry Rearden search desperately for the inventor of a revolutionary motor as the U.S. government continues to spread its control over the national economy.,"[18, 878, 9648]",6.7073,/9iwPz9zy1uCP73QMxhNs6gaTTom.jpg,"Drama, Science Fiction, Mystery",2012
5254,41823,Mo' Better Blues,1990-08-03,6.5,"Talented but self-centered trumpeter Bleek Gilliam is obsessed with his music and indecisiveness about his girlfriends Indigo and Clarke. But when he is forced to come to the aid of his manager and childhood friend, Bleek finds his world more fragile than he ever imagined.","[18, 10402]",6.9694,/223W6PWAiYb3BX2rbFvzjbDDIvz.jpg,"Drama, Music",1990
5255,27033,The Strange Love of Martha Ivers,1946-08-19,7.1,"Three childhood friends, Martha, Walter and Sam, share a terrible secret. Over time, the ambitious Martha and the pusillanimous Walter have married. She is a cold businesswoman; he is the district attorney: a perfect combination to dominate the corrupt city of Iverstown at will. But the unexpected return of Sam, after years of absence, deeply disturbs the life of the odd couple.","[18, 53]",5.1475,/iUAq0UYHglCsnHVbBLcJvZ6KQN9.jpg,"Drama, Thriller",1946
5256,9973,Air Buddies,2006-12-12,5.905,"The offspring of sportsman canine Air Bud: B-Dawg, Mudbud, Budderball, Buddha, and Rosebud, uncover a kidnapping plot motivated by a little rich boy's desire to have the world's most athletic dog as a pet.","[12, 35, 10751]",6.526,/7eRiBonjI6PxlXIMGkzxtL2pvU6.jpg,"Adventure, Comedy, Family",2006
5257,44594,Barry Munday,2010-03-13,5.764,"Barry Munday, a libido-driven wage slave who spends all his time either ogling, fantasizing about or trying to pick up women, wakes up in hospital after a freak attack only to find that his testicles have been removed.","[35, 18, 10749]",6.4632,/ctHpUBRpnuGtwF4mYkKQVdjG8NI.jpg,"Comedy, Drama, Romance",2010
5258,1255559,Dilan 1983,2024-06-13,6.4,"In this 1980s prequel, Dilan reunites with his elementary school friends after a year and a half away and tries to impress a new transfer student.","[18, 10749, 10751, 35]",4.52,/7teKNxqnTJ0wu8QYlJURqGBQrOw.jpg,"Drama, Romance, Family, Comedy",2024
5259,2246,Malice,1993-09-29,6.3,"A tale about a happily married couple who would like to have children. Tracy teaches infants, Andy's a college professor. Things are never the same after she is taken to hospital and operated upon by Jed, a ""know all"" doctor.",[53],7.0681,/6kcjUrhvHrXSLDLQHvcOvJmLSqs.jpg,Thriller,1993
5260,613911,Bliss,2021-02-05,5.5,"A mind-bending love story following Greg who, after recently being divorced and then fired, meets the mysterious Isabel, a woman living on the streets and convinced that the polluted, broken world around them is just a computer simulation. Doubtful at first, Greg eventually discovers there may be some truth to Isabel’s wild conspiracy.","[878, 10749, 18]",7.0101,/b7BllsQkD6nTkAdtd28UVCmKqVi.jpg,"Science Fiction, Romance, Drama",2021
5261,43931,My Soul to Take,2010-10-08,5.478,"On the day the Riverton Ripper vanished without a trace, seven children were born. Today, they're all turning 16... and turning up dead.","[27, 9648]",6.8129,/3dOFUWCue0ovlGpUhuEDmOikTPk.jpg,"Horror, Mystery",2010
5262,24923,Messiah of Evil,1974-12-11,6.2,"A young woman searching for her missing artist father finds herself in the strange seaside town of Point Dume, which seems to be under the influence of a mysterious undead cult.","[27, 9648]",4.6484,/5oRbZ2vBCuOiboc0WJ928KOwKAD.jpg,"Horror, Mystery",1974
5263,11322,Public Enemies,2009-07-01,6.688,"Depression-era bank robber John Dillinger's charm and audacity endear him to much of America's downtrodden public, but he's also a thorn in the side of J. Edgar Hoover and the fledgling FBI. Desperate to capture the elusive outlaw, Hoover makes Dillinger his first Public Enemy Number One and assigns his top agent, Melvin Purvis, the task of bringing him in dead or alive.","[80, 36, 18]",5.2191,/ezFQaPf4cOEfsl39Me0gSV29d7V.jpg,"Crime, History, Drama",2009
5264,683287,Unbreakable Kimmy Schmidt: Kimmy vs. the Reverend,2020-05-12,6.493,Kimmy's a famous author and she's about to marry a prince! But first she has to foil the Reverend's evil plot. It's your move: What should Kimmy do next?,"[35, 10770]",6.771,/3lOYicrgvA6982iVUpD9860qf7X.jpg,"Comedy, TV Movie",2020
5265,673175,Have a Good Trip: Adventures in Psychedelics,2020-05-11,6.673,"Celebrities recall their most mind-bending trips via animations, reenactments and more in this comedic documentary exploring the story of psychedelics.","[99, 35]",6.9467,/x3NX8v5t8a0yabCnlskpjXPkRKP.jpg,"Documentary, Comedy",2020
5266,17709,Dudley Do-Right,1999-08-27,4.1,"Royal Canadian Mountie Dudley Do-right is busy keeping the peace in his small mountain town when his old rival, Snidely Whiplash, comes up with a plot to buy all the property in town, then start a phony gold rush by seeding the river with gold nuggets.","[35, 10751, 10749]",6.6926,/4LP5BieqdFNlCFjxsvaA3d6hGGd.jpg,"Comedy, Family, Romance",1999
5267,21712,Mind Game,2004-08-07,7.502,"Nishi is a loser who has a crush on his childhood girlfriend. After an encounter with the Japanese mafia, he journeys to heaven and back, and ends up trapped in an even more unlikely place.","[16, 10749, 35, 18, 14]",6.9064,/e5mV1iVcjg7nkpJrskQOnFCR4H9.jpg,"Animation, Romance, Comedy, Drama, Fantasy",2004
5268,574451,Turtles All the Way Down,2024-04-27,7.517,"Aza confronts her potential for love, happiness, friendship, and hope while navigating an endless barrage of invasive, obsessive thoughts.","[18, 10749]",6.3034,/tDKlFXWCvIkP2Xl2nMdI49kzwZx.jpg,"Drama, Romance",2024
5269,9456,The Crow: Salvation,2000-01-23,5.5,"Alex Corvis, a man wrongly executed for the murder of his girlfriend, returns from the dead and sets out to find the real killer.","[28, 53, 27, 80, 14, 9648]",6.9824,/5JkLJ0HS1hGxZHok9pjBcLCpLuX.jpg,"Action, Thriller, Horror, Crime, Fantasy, Mystery",2000
5270,802699,The Girl from the Other Side,2023-05-16,6.9,"Once upon a time, in a far, faraway place, there were two lands. The world was divided into an inner land and an outer land. People feared the outer land, inhabited by eerie beings, the carriers of curse. One day, on the border to the inner land inhabited by humans, one such being finds a girl on heaps of abandoned dead bodies. The girl says her name is Shiva and shows affection to the ""being"" who found her, calling him ""Teacher.""  This is a story of two people—one human, one inhuman—who linger in the hazy twilight that separates night from day.","[16, 18, 9648, 14]",6.76,/pxetgBMAyDg8dorRApnHPKvD74g.jpg,"Animation, Drama, Mystery, Fantasy",2023
5271,20759,The Great White Hype,1996-05-03,5.23,"When the champ's promoter, Rev. Sultan, decides something new is needed to boost the marketability of the boxing matches, he searches and finds the only man to ever beat the champ. The problem is that he isn't a boxer anymore and he's white. However, once Rev. Sultan convinces him to fight, he goes into heavy training while the confident champ takes it easy and falls out of shape.","[35, 18]",6.431,/yEPiu0mC4NqMHOoFLsC6CxQW34d.jpg,"Comedy, Drama",1996
5272,689700,Clean,2022-01-28,6.246,"Tormented by a past life, garbage man Clean attempts a life of quiet redemption. But when his good intentions mark him a target of a local crime boss, Clean is forced to reconcile with the violence of his past.","[80, 28, 18]",7.2066,/kRpKJstAW7DsoPAEBW2Kk1uD9Q6.jpg,"Crime, Action, Drama",2022
5273,97006,Temptation: Confessions of a Marriage Counselor,2013-03-29,6.6,"Judith has known her husband Brice since they were children, but now their marriage is growing stale. Having just completed her graduate work in psychotherapy, she's eager to begin a career as a marriage counselor. She takes an internship at a matchmaking firm for millionaires and meets Harley, a charismatic billionaire investor who makes no effort to hide his attraction to Judith. Although quite resistant at first, eventually Judith succumbs to his charms, placing her marriage in jeopardy and forever altering the course of her life.",[18],6.7426,/22hclz5NzRKyWb81TjO1yx1Wn4w.jpg,Drama,2013
5274,653567,Miss Americana,2020-01-31,7.898,"A raw and emotionally revealing look at one of the most iconic artists of our time during a transformational period in her life as she learns to embrace her role not only as a songwriter and performer, but as a woman harnessing the full power of her voice.","[99, 10402]",6.8062,/z1HiEB1UEfdA5fPkngekjQ2vlCC.jpg,"Documentary, Music",2020
5275,2442,The Final Cut,1995-11-05,5.8,A former bomb squad leader comes out of retirement to investigate a series of bombings plaguing Seattle.,[28],8.4823,/a68zeNwSvt1PZtuJRz0QRSSVx1U.jpg,Action,1995
5276,297222,PK,2014-12-18,7.712,"A stranger in the city asks questions no one has asked before. Known only by his initials, the man's innocent questions and childlike curiosity take him on a journey of love, laughter and letting go.","[35, 18, 878]",6.69,/z2x2Y4tncefsIU7h82gmUM5vnBJ.jpg,"Comedy, Drama, Science Fiction",2014
5277,9910,Two for the Money,2005-10-07,6.046,A former college athlete joins forces with a sports consultant to handicap football games for high-rolling gamblers.,"[35, 80, 18, 53]",6.6602,/5SedPYdGLrp6LX9C2cWXLx38w1D.jpg,"Comedy, Crime, Drama, Thriller",2005
5278,39939,Super Troopers,2001-02-15,6.545,"Five bored, occasionally high and always ineffective Vermont state troopers must prove their worth to the governor or lose their jobs. After stumbling on a drug ring, they plan to make a bust, but a rival police force is out to steal the glory.","[35, 80, 9648]",6.1285,/yJyxPItcLNVfYr7idOphQTmQ9hK.jpg,"Comedy, Crime, Mystery",2001
5279,460400,Sound! Euphonium the Movie – May the Melody Reach You!,2017-09-30,7.05,"Following their success in the qualifying round for the Kansai regional competition, the members of the Kitauji High School concert band set their sights on the next upcoming performance. Utilizing their summer break to the utmost, the band participates in a camp where they are instructed by their band advisor Noboru Taki and his friends who make their living as professional musicians. Kumiko Oumae and her friends remain determined to attain gold at the Kansai competition, but trouble arises when a student who once quit the band shows interest in rejoining and sparks unpleasant memories for the second-year members. Kumiko also learns about her teacher's surprising past and the motivation behind his desire to lead the band to victory. Reaching nationals will require hard work, and the adamant conviction in each student's commitment to the band will be put to the test.","[16, 18, 10402]",6.9088,/lR2DNDslQES1mPOSuTZrqZRtZ2k.jpg,"Animation, Drama, Music",2017
5281,869250,Being James Bond,2021-08-29,7.7,"Daniel Craig candidly reflects on his 15 year adventure as James Bond. Including never-before-seen archival footage from Casino Royale to the upcoming 25th film No Time To Die, Craig shares his personal memories in conversation with 007 producers, Michael G Wilson and Barbara Broccoli.",[99],5.8374,/kKG9gieki5wgEcVXLfnX1lbOcrO.jpg,Documentary,2021
5282,12244,9,2009-08-19,6.9,"When 9 first comes to life, he finds himself in a post-apocalyptic world. All humans are gone, and it is only by chance that he discovers a small community of others like him taking refuge from fearsome machines that roam the earth intent on their extinction. Despite being the neophyte of the group, 9 convinces the others that hiding will do them no good.","[28, 12, 16, 878, 53]",6.0867,/3uqXGOH4BQ2CLJWkDJZ0PzbUzOn.jpg,"Action, Adventure, Animation, Science Fiction, Thriller",2009
